NOME_PROVINCIA,NOME_COMUNE,DECESSI_HIGH,DECESSI_LOW,AVG
Brescia,Mazzano,16,5,16
Brescia,Milzano,3,0,3
Brescia,Moniga del Garda,20,20,20
Brescia,Monno,0,0,0
Brescia,Monte Isola,6,0,6
Brescia,Monticelli Brusati,4,0,4
Brescia,Montichiari,36,14,36
Brescia,Montirone,36,36,36
Brescia,Mura,1,0,1
Brescia,Muscoline,5,0,5
Brescia,Nave,46,46,46
Brescia,Niardo,4,0,4
Brescia,Nuvolento,6,0,6
Brescia,Nuvolera,8,8,8
Brescia,Odolo,6,0,6
Brescia,Offlaga,4,0,4
Brescia,Ome,20,20,20
Brescia,Ono San Pietro,2,0,2
Brescia,Orzinuovi,200,200,200
Brescia,Orzivecchi,34,34,34
Brescia,Ospitaletto,82,82,82
Brescia,Ossimo,3,0,3
Brescia,Padenghe sul Garda,20,20,20
Brescia,Paderno Franciacorta,14,14,14
Brescia,Paisco Loveno,0,0,0
Brescia,Paitone,5,1,5
Brescia,Palazzolo sull'Oglio,200,200,200
Brescia,Paratico,6,0,6
Brescia,Paspardo,0,0,0
Brescia,Passirano,52,52,52
Brescia,Pavone del Mella,7,0,7
Brescia,Pertica Alta,3,0,3
Brescia,Pertica Bassa,1,0,1
Brescia,Pezzaze,14,14,14
Brescia,Pian Camuno,22,22,22
Brescia,Piancogno,40,40,40
Brescia,Pisogne,72,72,72
Brescia,Polaveno,6,2,6
Brescia,Polpenazze del Garda,4,1,4
Brescia,Pompiano,22,22,22
Brescia,Poncarale,34,34,34
Brescia,Ponte di Legno,16,16,16
Brescia,Pontevico,15,3,15
Brescia,Pontoglio,68,68,68
Brescia,Pozzolengo,24,24,24
Brescia,Pralboino,6,0,6
Brescia,Preseglie,4,0,4
Brescia,Prevalle,26,26,26
Brescia,Provaglio d'Iseo,12,5,12
Brescia,Provaglio Val Sabbia,1,0,1
Brescia,Puegnago del Garda,7,1,7
Brescia,Quinzano d'Oglio,110,110,110
Brescia,Remedello,9,2,9
Brescia,Rezzato,68,68,68
Brescia,Roccafranca,40,40,40
Brescia,Rodengo Saiano,15,5,15
Brescia,Roè Volciano,20,20,20
Brescia,Roncadelle,72,72,72
Brescia,Rovato,28,10,28
Brescia,Rudiano,6,0,6
Brescia,Sabbio Chiese,24,24,24
Brescia,Sale Marasino,60,60,60
Brescia,Salò,52,52,52
Brescia,San Felice del Benaco,12,12,12
Brescia,San Gervasio Bresciano,20,20,20
Brescia,San Paolo,38,38,38
Brescia,San Zeno Naviglio,9,0,9
Brescia,Sarezzo,78,78,78
Brescia,Saviore dell'Adamello,3,0,3
Brescia,Sellero,3,0,3
Brescia,Seniga,3,0,3
Brescia,Serle,18,18,18
Brescia,Sirmione,19,3,19
Brescia,Soiano del Lago,6,0,6
Brescia,Sonico,3,0,3
Brescia,Sulzano,16,16,16
Brescia,Tavernole sul Mella,6,0,6
Brescia,Temù,3,0,3
Brescia,Tignale,3,0,3
Brescia,Torbole Casaglia,46,46,46
Brescia,Toscolano-Maderno,22,5,22
Brescia,Travagliato,48,48,48
Brescia,Tremosine sul Garda,3,0,3
Brescia,Trenzano,26,26,26
Brescia,Treviso Bresciano,2,0,2
Brescia,Urago d'Oglio,6,0,6
Brescia,Vallio Terme,2,0,2
Brescia,Valvestino,1,0,1
Brescia,Verolanuova,112,112,112
Brescia,Verolavecchia,42,42,42
Brescia,Vestone,10,3,10
Brescia,Vezza d'Oglio,4,0,4
Brescia,Villa Carcina,32,32,32
Brescia,Villachiara,2,0,2
Brescia,Villanuova sul Clisi,40,40,40
Brescia,Vione,2,0,2
Brescia,Visano,3,0,3
Brescia,Vobarno,32,32,32
Brescia,Zone,0,0,0
Como,Albavilla,18,18,18
Como,Albese con Cassano,15,0,15
Como,Albiolo,4,0,4
Como,Alserio,3,0,3
Como,Alta Valle Intelvi,7,0,7
Como,Alzate Brianza,13,0,13
Como,Anzano del Parco,4,0,4
Como,Appiano Gentile,24,24,24
Como,Argegno,1,0,1
Como,Arosio,28,28,28
Como,Asso,12,12,12
Como,Barni,0,0,0
Como,Bellagio,16,16,16
Como,Bene Lario,0,0,0
Como,Beregazzo con Figliaro,8,8,8
Como,Binago,10,10,10
Como,Bizzarone,2,0,2
Como,Blessagno,1,0,1
Como,Blevio,1,0,1
Como,Bregnano,12,0,12
Como,Brenna,3,0,3
Como,Brienno,1,0,1
Como,Brunate,3,0,3
Como,Bulgarograsso,10,10,10
Como,Cabiate,14,14,14
Como,Cadorago,12,0,12
Como,Caglio,2,0,2
Como,Campione d'Italia,5,0,5
Como,Cantù,76,76,76
Como,Canzo,15,6,15
Como,Capiago Intimiano,12,0,12
Como,Carate Urio,4,0,4
Como,Carbonate,6,0,6
Como,Carimate,6,0,6
Como,Carlazzo,2,0,2
Como,Carugo,10,10,10
Como,Caslino d'Erba,4,0,4
Como,Casnate con Bernate,3,1,3
Como,Cassina Rizzardi,6,0,6
Como,Castelmarte,0,0,0
Como,Castelnuovo Bozzente,2,0,2
Como,Cavargna,1,0,1
