"","NOME_PROVINCIA","DATA","SESSO","DECESSI","POPOLAZIONE","DECESSI_P10k"
"182","Bergamo",2015-03-02,"MASCHI",13,548878,0,236846803843477
"183","Bergamo",2015-03-02,"TOTALE",31,1108578,0,279637517612653
"184","Bergamo",2015-03-03,"FEMMINE",30,559699,0,536002386997297
"185","Bergamo",2015-03-03,"MASCHI",19,548878,0,346160713309697
"186","Bergamo",2015-03-03,"TOTALE",49,1108577,0,44200808784595
"187","Bergamo",2015-03-04,"FEMMINE",15,559699,0,268001193498648
"188","Bergamo",2015-03-04,"MASCHI",22,548877,0,400818398293242
"189","Bergamo",2015-03-04,"TOTALE",37,1108576,0,333761510261813
"190","Bergamo",2015-03-05,"FEMMINE",26,559699,0,464535402064324
"191","Bergamo",2015-03-05,"MASCHI",17,548877,0,309723307772051
"192","Bergamo",2015-03-05,"TOTALE",43,1108576,0,387884998412378
"193","Bergamo",2015-03-06,"FEMMINE",15,559698,0,268001672330435
"194","Bergamo",2015-03-06,"MASCHI",14,548876,0,255066718165852
"195","Bergamo",2015-03-06,"TOTALE",29,1108575,0,261597095370182
"196","Bergamo",2015-03-07,"FEMMINE",16,559698,0,285868450485798
"197","Bergamo",2015-03-07,"MASCHI",13,548876,0,236847666868291
"198","Bergamo",2015-03-07,"TOTALE",29,1108574,0,261597331346396
"199","Bergamo",2015-03-08,"FEMMINE",14,559698,0,250134894175073
"200","Bergamo",2015-03-08,"MASCHI",12,548875,0,218629013892052
"201","Bergamo",2015-03-08,"TOTALE",26,1108574,0,234535538448493
"202","Bergamo",2015-03-09,"FEMMINE",19,559698,0,339468784951885
"203","Bergamo",2015-03-09,"MASCHI",24,548875,0,437258027784104
"204","Bergamo",2015-03-09,"TOTALE",43,1108573,0,387886048099674
"205","Bergamo",2015-03-10,"FEMMINE",13,559697,0,232268531008742
"206","Bergamo",2015-03-10,"MASCHI",14,548874,0,255067647583963
"207","Bergamo",2015-03-10,"TOTALE",27,1108572,0,243556575486301
"208","Bergamo",2015-03-11,"FEMMINE",13,559697,0,232268531008742
"209","Bergamo",2015-03-11,"MASCHI",11,548874,0,200410294530256
"210","Bergamo",2015-03-11,"TOTALE",24,1108572,0,216494733765601
"211","Bergamo",2015-03-12,"FEMMINE",21,559697,0,375203011629507
"212","Bergamo",2015-03-12,"MASCHI",17,548874,0,309725000637669
"213","Bergamo",2015-03-12,"TOTALE",38,1108571,0,342783637674087
"214","Bergamo",2015-03-13,"FEMMINE",23,559697,0,410936631784698
