"","NOME_COMUNE","NOME_PROVINCIA","DECESSI_HIGH","DECESSI_LOW","AVG","longitudine","latitudine"
"305","Casatisma","Pavia",3,0,3,9.13096391,45.04568877
"306","Casazza","Bergamo",40,40,40,9.90631523,45.75151263
"307","Casciago","Varese",12,12,12,8.78437936,45.83477437
"308","Casei Gerola","Pavia",22,22,22,8.92707305,45.0063079
"309","Caselle Landi","Lodi",28,28,28,9.79199005,45.10376862
"310","Caselle Lurani","Lodi",3,0,3,9.3601395,45.2804327
"311","Casirate d'Adda","Bergamo",42,42,42,9.56659968,45.49235035
"312","Caslino d'Erba","Como",4,0,4,9.22712175,45.83756065
"313","Casnate con Bernate","Como",3,1,3,9.0746556,45.75679233
"314","Casnigo","Bergamo",72,72,72,9.86745342,45.81634563
"315","Casorate Primo","Pavia",22,22,22,9.01813904,45.3119243
"316","Casorate Sempione","Varese",12,12,12,8.74031796,45.67171363
"317","Casorezzo","Milano",14,14,14,8.8990494,45.524201
"318","Caspoggio","Sondrio",3,0,3,9.86176989,46.26472617
"319","Cassago Brianza","Lecco",7,2,7,9.29482669,45.74049083
"320","Cassano d'Adda","Milano",82,82,82,9.52054616,45.52652047
"321","Cassano Magnago","Varese",52,52,52,8.82082527,45.674381
"322","Cassano Valcuvia","Varese",2,0,2,8.76817676,45.932577
"323","Cassiglio","Bergamo",0,0,0,9.61212713,45.96685843
"324","Cassina de' Pecchi","Milano",24,9,24,9.36445401,45.51996566
"325","Cassina Rizzardi","Como",6,0,6,9.03038994,45.75103988
"326","Cassina Valsassina","Lecco",0,0,0,9.47938526,45.93197829
"327","Cassinetta di Lugagnano","Milano",2,0,2,8.9068009,45.42212844
"328","Cassolnovo","Pavia",76,76,76,8.80894596,45.36582712
"329","Castana","Pavia",3,0,3,9.27189802,45.02702606
"330","Castano Primo","Milano",44,44,44,8.77635835,45.55121165
"331","Casteggio","Pavia",17,3,17,9.12494869,45.01239955
"332","Castegnato","Brescia",56,56,56,10.11683832,45.5621169
"333","Castel d'Ario","Mantova",6,1,6,10.9714046,45.18572114
"334","Castel Gabbiano","Cremona",2,0,2,9.71762345,45.46846383
"335","Castel Goffredo","Mantova",72,72,72,10.47462636,45.29795068
"336","Castel Mella","Brescia",30,30,30,10.14188166,45.49759872
"337","Castel Rozzone","Bergamo",14,14,14,9.62373758,45.55543684
"338","Castelbelforte","Mantova",6,6,6,10.89219834,45.21408104
"339","Castelcovati","Brescia",44,44,44,9.94319171,45.5060743
"340","Casteldidone","Cremona",1,0,1,10.40578209,45.07067841
"341","Castellanza","Varese",34,34,34,8.89758795,45.61147087
"342","Castelleone","Cremona",114,114,114,9.76489432,45.29350315
"343","Castelletto di Branduzzo","Pavia",1,0,1,9.09766637,45.07018739
"344","Castelli Calepio","Bergamo",130,130,130,9.90225371,45.64152654
"345","Castello Cabiaglio","Varese",1,0,1,8.75481888,45.89254824
"346","Castello d'Agogna","Pavia",1,0,1,8.68937848,45.23600468
"347","Castello dell'Acqua","Sondrio",2,0,2,10.01578984,46.14548538
"348","Castello di Brianza","Lecco",6,0,6,9.3482511,45.7558308
"349","Castellucchio","Mantova",11,0,11,10.64451007,45.14673489
"350","Castelmarte","Como",0,0,0,9.23335971,45.83250887
"351","Castelnovetto","Pavia",2,0,2,8.61139904,45.2543752
"352","Castelnuovo Bocca d'Adda","Lodi",28,28,28,9.86941312,45.11236905
"353","Castelnuovo Bozzente","Como",2,0,2,8.94137967,45.76345124
"354","Castelseprio","Varese",3,0,3,8.86127391,45.71695339
"355","Castelveccana","Varese",5,0,5,8.66483192,45.94653339
"356","Castelverde","Cremona",88,88,88,9.99696281,45.18570753
"357","Castelvisconti","Cremona",1,0,1,9.94220743,45.30567509
"358","Castenedolo","Brescia",50,50,50,10.30043916,45.47135901
"359","Castiglione d'Adda","Lodi",104,104,104,9.69503024,45.21568553
"360","Castiglione delle Stiviere","Mantova",84,84,84,10.49104943,45.3864959
"361","Castiglione Olona","Varese",11,0,11,8.86808089,45.75638484
"362","Castione Andevenno","Sondrio",2,0,2,9.80029723,46.1728621
"363","Castione della Presolana","Bergamo",9,3,9,10.03640944,45.90774598
"364","Castiraga Vidardo","Lodi",2,0,2,9.4026397,45.25645353
"365","Casto","Brescia",3,0,3,10.32059748,45.69508611
"366","Castrezzato","Brescia",40,40,40,9.97671546,45.51108736
"367","Castro","Bergamo",18,18,18,18.42476926,40.00789743
"368","Castro","Bergamo",18,18,18,10.06877391,45.80380375
"369","Castronno","Varese",9,0,9,8.81288955,45.74696138
"370","Cava Manara","Pavia",30,30,30,9.10710573,45.13887406
"371","Cavargna","Como",1,0,1,9.11202583,46.09067552
"372","Cavaria con Premezzo","Varese",13,7,13,8.79768031,45.69454899
"373","Cavenago d'Adda","Lodi",16,16,16,9.60179501,45.283965
"374","Cavenago di Brianza","Monza e della Brianza",42,42,42,9.4148772,45.58529553
"375","Cavernago","Bergamo",3,0,3,9.76373349,45.62380299
"376","Cavriana","Mantova",8,0,8,10.60099734,45.34991118
"377","Cazzago Brabbia","Varese",1,0,1,8.73527589,45.79535134
"378","Cazzago San Martino","Brescia",86,86,86,10.02501501,45.58101331
"379","Cazzano Sant'Andrea","Bergamo",0,0,0,9.88223113,45.81122174
"380","Cecima","Pavia",1,0,1,9.08168596,44.8478148
"381","Cedegolo","Brescia",4,0,4,10.34999445,46.07576226
"382","Cedrasco","Sondrio",0,0,0,9.7680041,46.14931462
"383","Cella Dati","Cremona",1,0,1,10.22126378,45.09615732
"384","Cellatica","Brescia",9,0,9,10.17777203,45.58268839
"385","Cenate Sopra","Bergamo",20,20,20,9.82417576,45.71174379
"386","Cenate Sotto","Bergamo",4,0,4,9.82395442,45.69842732
"387","Cene","Bergamo",72,72,72,9.82557194,45.77943252
"388","Cerano d'Intelvi","Como",1,0,1,9.08764297,45.94446407
"389","Ceranova","Pavia",3,0,3,9.24226047,45.26001191
"390","Cercino","Sondrio",1,0,1,9.50818301,46.15777754
"391","Ceresara","Mantova",12,12,12,10.56562252,45.26332286
"392","Cerete","Bergamo",3,0,3,9.99497475,45.86768981
"393","Ceretto Lomellina","Pavia",0,0,0,8.67241282,45.24481961
"394","Cergnago","Pavia",3,0,3,8.76908632,45.19717197
"395","Ceriano Laghetto","Monza e della Brianza",14,14,14,9.07906789,45.62719292
"396","Cermenate","Como",34,34,34,9.08268731,45.698567
"397","Cernobbio","Como",16,0,16,9.07435334,45.83962461
"398","Cernusco Lombardone","Lecco",18,18,18,9.39755363,45.69048908
"399","Cernusco sul Naviglio","Milano",164,164,164,9.33502744,45.52420326
"400","Cerro al Lambro","Milano",7,0,7,9.33846435,45.33157234
"401","Cerro Maggiore","Milano",50,50,50,8.9507118,45.59344478
"402","Certosa di Pavia","Pavia",9,0,9,9.1274166,45.25434477
"403","Cerveno","Brescia",1,0,1,10.32550765,46.00231643
"404","Cervesina","Pavia",4,0,4,9.01775898,45.0611738
"405","Cervignano d'Adda","Lodi",24,24,24,9.42263787,45.3738302
"406","Cesana Brianza","Lecco",3,0,3,9.30076427,45.81945672
"407","Cesano Boscone","Milano",66,66,66,9.09327345,45.44593779
"408","Cesano Maderno","Monza e della Brianza",70,14,70,9.14802853,45.62648006
"409","Cesate","Milano",52,52,52,9.07544168,45.59500977
"410","Ceto","Brescia",2,0,2,10.3518498,46.00235809
"411","Cevo","Brescia",2,0,2,10.37037619,46.08019094
"412","Chiari","Brescia",35,13,35,9.93052864,45.5368436
"413","Chiavenna","Sondrio",22,0,22,9.40548756,46.32102771
